Results for Merging Angle: 5
Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
172.17999999982877,168.9199999998307,172.17999999982877,0.0,0.0,4.65999999999983,137.8117408905797,136.76133333322417,138.804251968396,46.54136934519573,47.51346487978698,45.581582040169735,0.21027003098730176,0.10247651579853066,0.10811455034569767,247.0,120.0,127.0
174.73999999982647,172.7399999998273,174.73999999982647,0.0,0.0,6.660000000000409,139.7253441294463,137.0391803277627,142.3470399998895,47.770702629687584,49.839316654304646,45.50882332067859,0.20924755595479907,0.10402278269477054,0.10589451212287403,247.0,122.0,125.0
172.7199999998283,172.63999999982732,172.7199999998283,0.0,0.0,4.919999999999806,141.3313008128995,140.94632478621568,141.68046511617086,45.06177101763186,45.14954559775916,44.979163993747285,0.20848517721253898,0.09954396950728077,0.10932759292852653,246.0,117.0,129.0
173.17999999982797,171.07999999982874,173.17999999982797,0.0,0.019999999999910756,0.0,136.72236734682906,136.7085714284615,136.73539682528724,49.178354215739,47.984306578137605,50.28003221082441,0.20801494311441882,0.10103582951271771,0.10744619162950116,245.0,119.0,126.0
172.83999999982822,170.2599999998295,172.83999999982822,0.0,2.979999999999901,0.0,140.46440816315507,135.8214173227294,145.46152542361304,46.22869878305539,48.75947389018599,42.78073193374069,0.20733895264222832,0.10747774279821631,0.10071009149262436,245.0,127.0,118.0
173.81999999982733,172.81999999982722,173.81999999982733,0.0,0.0,0.019999999999910756,134.67295546547564,133.181951219402,136.15193548375848,51.03484839966609,50.999438250597244,51.02692539827735,0.20898906826426034,0.10485575939446348,0.10491758892618738,247.0,123.0,124.0
173.8599999998273,171.87999999982807,173.8599999998273,0.0,0.0,3.0799999999998455,137.99012145738087,139.36933333322293,136.68692913375045,48.46313792178294,45.415393347221226,51.14222874913741,0.20913062620666167,0.10160192366315547,0.10796198378027116,247.0,120.0,127.0
173.53999999982753,170.97999999982883,173.53999999982753,0.0,0.0,0.0,137.64356275292602,134.60796747956755,140.6546774192414,47.39435003068246,49.2507048351244,45.27754852790118,0.20898906826426034,0.10520013684577605,0.10491758892618738,247.0,123.0,124.0
172.37999999995185,171.59999999982827,172.37999999995185,0.0,0.0,5.019999999999804,138.79853061213845,138.0345454544398,139.5440322579574,45.54488367375588,45.15426362993349,45.91059635780331,0.2089017735335626,0.10317189631657582,0.10877574651749292,245.0,121.0,124.0
171.63999999982937,169.53999999983026,171.63999999982937,0.0,0.0,4.099999999999824,137.92331983794853,132.93023622036867,143.2076666665538,46.22629803767901,49.69462208043575,41.59891434340906,0.2089996784621719,0.1078336474944251,0.10153830532575153,247.0,127.0,120.0
MEAN ROW,5
173.01999999983522,171.1269999998355,173.01999999983522,0.0,1.2849999999999966,2.0669999999999473,138.9778895604006,137.24510071617055,140.75090090485415,46.95678793199006,47.46606169351577,46.176297940174976,0.2084634430774291,0.10357510876614351,0.10563558115817943,245.0,121.0,124.0


Results for Merging Angle: 10
Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
132.07999999986592,129.4999999998677,132.07999999986592,0.0,0.0,0.0,97.70755555546982,94.12064516120857,101.18237499991032,42.61865954020741,43.661175455540246,41.28770618301469,0.27704485488144776,0.13666020102283666,0.14072119613025919,315.0,155.0,160.0
131.49999999986625,130.7799999998664,131.49999999986625,0.0,3.719999999999832,0.0,102.81954983914336,102.11649350641011,103.50917197443573,34.858876993673086,34.151075519368774,35.525946559219726,0.2723292469353799,0.13520632133459248,0.13747810858152618,311.0,154.0,157.0
134.3199999998638,131.3399999998659,134.3199999998638,0.0,3.960000000000484,0.0,105.07878980883034,105.07258278137077,105.08453987721303,34.462386176122685,32.650911500334516,36.05939260909176,0.2746195557112173,0.13251426064071864,0.14255728528958098,314.0,151.0,163.0
132.39999999986546,129.35999999986768,132.39999999986546,0.0,0.0,0.0,104.78948387088163,102.05548387088567,107.52348387087773,33.97206346189717,34.73540341738865,32.96520027467834,0.27347954196605556,0.13721185510437056,0.13673977098302778,310.0,155.0,155.0
134.2399999998639,132.75999999986462,134.2399999998639,0.0,2.919999999999849,0.0,98.6647249190063,98.3219047618175,98.9758024690479,39.34863962647029,38.386946075724566,40.19885345893805,0.27042638101256966,0.1291127233123968,0.1417769376182404,309.0,147.0,162.0
133.95999999986404,131.09999999986613,133.95999999986404,0.0,2.3447910280083306E-12,0.0,104.0656310678748,101.38705882344657,106.69269230760248,36.843679236455806,37.34942086643286,36.14854801395326,0.27187302034226274,0.13573456352031563,0.1372562821145404,309.0,153.0,156.0
